vocab,meaning,example,group
applicant (n.),ผู้สมัคร,There were over 500 applicants for the job.,Business
application (n.),ใบสมัคร,You need to complete the online application form.,Business
apprentice (n.),ผู้ฝึกงาน,I was an apprentice in an upholstery shop when I was a teenager.,Business
approximate (adj.),"ราว ๆ, ประมาณ",Construction was completed at an approximate cost of $4.1 million.,Business
approve (v.),อนุมัติ,She didn’t quite approve of the way he was running things.,Business
appropriate (adj.),เหมาะสม,Skills can be enhanced by the appropriate use of technology in certain circumstances.,Business
appoint (v.),แต่งตั้ง,She’s been appointed British ambassador to the UN.,Business
appointment (n.),การนัดหมาย,Tom has been given an appointment at the local hospital.,Business
attach (v.),แนบ,I attach a copy of the spreadsheet.,Business
attend (v.),เข้าร่วม,He was invited to attend a seminar in Paris.,Business
affordable (adj.),ราคาไม่แพง,This model is relatively affordable at just $85.,Business
afford (v.),จ่าย,She can well afford to pay for herself.,Business
arrange (v.),"เตรียมการ, จัดเตรียม",The president arranged for a meeting in his office.,Business
authority (n.),อำนาจ,I’m the one with the authority here.,Business
authorize (v.),มอบอำนาจ,I have authorized him to act for me while I am away.,Business
awareness (n.),ความตระหนัก,Politicians now have much greater awareness of these problems.,Business
bargain (v.),ต่อรอง,He bargained hard and was stubborn.,Business
bilingual (adj.),ซึ่งพูดได้สองภาษา,She is bilingual in English.,Business
bid (v.),"ประมูล, ให้ราคา",Two dealers bid against each other for the antique table.,Business
board (n.),คณะกรรมการ,The board is/are unhappy about falling sales.,Business
borrow (v.),ยืม,Members can borrow up to ten books from the library at any one time.,Business
boost (n.),การส่งเสริม,The tax cuts will give a much needed boost to the economy.,Business
budget (n.),งบประมาณ,All her projects are on time and on budget.,Business
branch (n.),สาขา,The store is opening more local branches.,Business
briefing (n.),การบรรยายสรุป,Captain Trent gave his men a full briefing.,Business
briefcase (n.),กระเป๋าเอกสาร,He wore a torn suit and carried a battered briefcase.,Business
bulletin (n.),"แถลงการณ์, ประกาศ",The government will issue an official bulletin later this week.,Business
campaign (v.),รณรงค์,We campaign on behalf of consumers.,Business
critical (adj.),วิกฤติ,Industry leaders are working together to address this critical issue.,Business
calculate (v.),"คำนวณ, คาดการณ์",Benefit is calculated on the basis of average weekly earnings.,Business
cancellation (n.),การยกเลิก,We need at least 24 hours’ notice of cancellation.,Business
candidate (n.),ผู้สมัคร,here were no suitable candidates for the position.,Business
career (n.),อาชีพ,She achieved a lot in her chosen career.,Business
cause (n.),สาเหตุ,It is not easy to separate cause and effect in this situation.,Business
charity (n.),การกุศล,She runs a charity for homeless young people.,Business
client (n.),"ลูกค้า, ผู้ซื้อ",The company needs to focus on its biggest clients.,Business
classify (v.),แยกประเภท,We can classify machines in terms of their function.,Business
code (n.),รหัส,Tap your code number into the machine.,Business
cost (n.),ต้นทุน,The company is focused on lowering its operating costs.,Business
confidential (adj.),เป็นความลับ,There is concern about several confidential documents which have gone missing.,Business
confusion (n.),ความสับสน,There is some confusion about what the correct procedure should be.,Business
connection (n.),ความสัมพันธ์,I have some good business connections in New York.,Business
consultant (n.),ที่ปรึกษา,We brought in a management consultant to sort out the mess.,Business
convince (v.),"โน้มน้าว, ชักจูง",You’ll need to convince them of your enthusiasm for the job.,Business
consignment (n.),"การส่งมอบ,การส่งของ",A consignment of medicines is on its way now.,Business
consider (v.),พิจารณา,It was a carefully considered decision.,Business
consumer (n.),ผู้บริโภค,We need to educate consumers about this technology.,Business
consume (v.),บริโภค,25 per cent of the world’s population consumes 80 per cent of the planet’s resources.,Business
consult (v.),ปรึกษา,"If the pain continues, consult your doctor.",Business
construction (n.),การก่อสร้าง,Construction began this year and will take approximately 18 months.,Business
contribute (v.),ให้ (เพื่อช่วยเหลือ),The company contributed $50 000 towards training costs.,Business
contribution (n.),การบริจาค,We were asked to make a contribution towards the cost of the meal.,Business
continual (adj.),ต่อเนื่อง,He was in a continual process of rewriting his material.,Business
concern (n.),ความกังวล,He felt some concern for her safety.,Business
complaint (n.),การร้องเรียน,We received a number of complaints from customers about the lack of parking facilities.,Business
competition (n.),การแข่งขัน,We’re going to have a competition to see who can swim the fastest.,Business
corporation (n.),บริษัท,The modern corporation has grown out of the industrial age.,Business
criticize (v.),วิจารณ์,The project has been criticized as a waste of money.,Business
certification (n.),ได้รับการรับรอง,She need some kind of certification for the jobs.,Business
chairman (n.),ประธาน,He steps down as chairman of the Federal Reserve next year.,Business
chairperson (n.),ประธาน,The chairperson has been associated with the organization for ten years.,Business
criteria (n.),เกณฑ์,She failed to meet the stringent selection criteria.,Business
declare (v.),"ประกาศ,แถลง, แจ้ง",He will probably have to declare bankruptcy.,Business
decrease (v.),ลดลง,The price of wheat has decreased by 5 per cent.,Business
defect (n.),ข้อบกพร่อง,There is evidence that air pollution can cause birth defects.,Business
defective (adj.),มีข้อบกพร่อง,Her vision is severely defective.,Business
definite (adj.),"แน่นอน, แน่ชัด, ชัดเจน",He was pretty definite about the price.,Business
delay (n.),ความล่าช้า,We apologize for the delay in answering your letter.,Business
department (n.),แผนก,She used to work in the IT department.,Business
depend on (phrv.),ขึ้นอยู่กับ,The outcome seems to depend on the type of soil used.,Business
determine (v.),กำหนด,It should be possible to determine the level of interest.,Business
deterioration (n.),การเสื่อมสภาพ,a serious deterioration in relations between the two countries,Business
discount (v.),ลดราคา,The news reports were being discounted as propaganda.,Business
discount (n.),ส่วนลด,You can get a substantial discount off your car insurance.,Business
dismiss (v.),ไม่สนใจ,He dismissed the opinion polls as worthless.,Business
discussion (n.),การสนทนา,I discovered something interesting during a family discussion.,Business
discrepancy (n.),ความคลาดเคลื่อน,There were wide discrepancies in the evidence.,Business
disruption (n.),การหยุดชะงัก,We might have a disruption of our little project.,Business
downturn (n.),"ขาลง, แนวโน้มที่แย่ลง",The building industry is experiencing a severe downturn in its workload.,Business
developer (n.),ผู้พัฒนา,A local developer is planning to build a supermarket on the site.,Business
development (n.),"การพัฒนา, ความก้าวหน้า",The company can offer a number of opportunities for career development.,Business
develop (v.),พัฒนา,The aim is to develop your personal skills.,Business
drastic (adj.),รุนแรง,The government is threatening to take drastic action.,Business
drastically (adv.),อย่างรุนแรง,Things have started to go drastically wrong.,Business
drop (v.),หล่น,Be careful not to drop that plate.,Business
duration (n.),ระยะเวลา,The next contract will be of shorter duration.,Business
effective (adj.),มีประสิทธิภาพ,We find advertising on the radio very effective.,Business
effectively (adv.),อย่างได้ผล,he company must reduce costs to compete effectively.,Business
effectiveness (n.),ประสิทธิผล,Quickly established an effectiveness and popularity within the community.,Business
element (n.),องค์ประกอบ,There are three important elements to consider.,Business
electricity (n.),กระแสไฟฟ้า,They are looking to develop more efficient ways of converting the energy from sunlight into electricity.,Business
employment (n.),การจ้างงาน,The company was one of the first to offer meaningful employment to the blind.,Business
employ (v.),จ้าง,His company currently employs 135 workers in total.,Business
employer (n.),นายจ้าง,They’re very good employers.,Business
endurance (n.),ความอดทน,She showed great endurance in the face of pain.,Business
endure (v.),อดทน,He had to endure the racist taunts of the crowd.,Business
evaluate (v.),ประเมิน,The trial will evaluate the effectiveness of the different drugs.,Business
engineer (n.),วิศวกร,We worked with a team of scientists and engineers.,Business
environment (n.),สิ่งแวดล้อม,We aim to provide a pleasant working environment.,Business
enthusiastic (adj.),กระตือรือร้น,He was quite enthusiastic about the idea.,Business
entitlement (n.),สิทธิ,Holiday entitlements for temporary workers are less than for permanent staff.,Business
enroll (v.),ลงทะเบียน,You need to enroll before the end of August.,Business
enthusiastically (adv.),อย่างกระตือรือร้น,"‘The new program is really well designed,’ she says enthusiastically.",Business
enterprise (n.),องค์กร,They plan to privatize over 100 state-owned enterprises.,Business
equivalent (adj.),"เท่ากัน, เท่ากับ",the price we would pay elsewhere for a broadly equivalent house,Business
expansion (n.),การขยายตัว,Despite the recession the company is confident of further expansion.,Business
expand (v.),ขยายตัว,I needed to expand my possibilities of making a living.,Business
expense (n.),ค่าใช้จ่าย,We were taken out for a meal at the company’s expense.,Business
experience (n.),ประสบการณ์,I have over ten years’ experience as a teacher.,Business
express (adj.),ด่วน,Customers expressed interest in trying the product.,Business
expect (v.),คาดหวัง,She confidently expects to win.,Business
excess (n.),จำนวนที่มากเกินไป,In an excess of enthusiasm I agreed to work late.,Business
excessive (adj.),"ซึ่งมากเกินไป, ซึ่งมากเกินกว่าจะยอมรับได้",They complained about the excessive noise coming from the upstairs flat.,Business
executive (n.),ผู้บริหาร,He’s a senior executive in a computer firm.,Business
engage (v.),มีส่วนร่วม,The party is attempting to engage young voters politically.,Business
establish (v.),"สร้าง, จัดตั้ง",The committee was established in 1912.,Business
estimate (v.),ประมาณการ,All variables can be estimated from the data.,Business
extend (v.),"ต่ออายุ, ขยายเวลา",The proposal was to extend paid leave to six months.,Business
extension (n.),การยืดขยาย,The bank plans various extensions to its credit facilities.,Business
external (adj.),ภายนอก,The lotion is for external use only.,Business
examination (n.),การตรวจสอบ,Careful examination of the ruins revealed an even earlier temple.,Business
examine (v.),"ไต่สวน, สอบสวน, ตรวจสอบ",It is necessary to examine how the proposals can be carried out.,Business
exploration (n.),การสำรวจ,Extensive exploration was carried out using the latest drilling technology.,Business
experiment (n.),การทดลองทางวิทยาศาสตร์,The results of the experiment were inconclusive.,Business
especially (adv.),โดยเฉพาะอย่างยิ่ง,"The car is quite small, especially if you have children.",Business
fault (n.),"ความผิด, ข้อผิดพลาด",They believe an electricity fault was the cause.,Business
factor (n.),ปัจจัย,We have identified a few key factors in the project’s success.,Business
factory (n.),โรงงาน,The factory closed down ten years ago.,Business
fail (v.),ล้มเหลว,Many diets fail because they are boring.,Business
facilitate (v.),"อำนวยความสะดวก, ให้ความสะดวกสบาย",Computers can be used to facilitate language learning.,Business
found (v.),ก่อตั้ง,The town was founded by English settlers in 1790.,Business
former (adj.),"ก่อนหน้านี้, ก่อน, ในอดีต","The former teacher, a lady, was too indulgent.",Business
foreign (adj.),เกี่ยวกับต่างประเทศ,I went to the bank to get some foreign currency.,Business
functional (adj.),ซึ่งสามารถนำไปใช้เป็นประโยชน์,The office was large and functional rather than welcoming.,Business
function (n.),หน้าที่,The club serves a useful function as a meeting place.,Business
faithfulness (n.),"ความซื่อสัตย์, ความภักดี",She had doubts about his faithfulness.,Business
farewell (n.),"การอำลา, การกล่าวลา",She said her farewells and left.,Business
flaw (n.),ข้อบกพร่อง,There is still a basic flaw in your selection procedure.,Business
flexible (adj.),"ซึ่งยืดหยุ่นได้, คล่องตัว",You need to be more flexible and imaginative in your approach.,Business
fruition (n.),"การบรรลุผล, การเกิดผล","After months of hard work, our plans finally came to fruition.",Business
fluctuate (v.),"ขึ้น ๆ ลง ๆ, ผันผวน",The rate of inflation has been fluctuating around 4% for some time.,Business
firm (n.),บริษัท,She works for a firm of management consultants based in London.,Business
goods (n.),สินค้า,The goods will be delivered within ten days.,Business
grievance (n.),ข้อข้องใจ,He had a personal grievance against the professor.,Business
growth (n.),การเจริญเติบโต,Remove dead leaves to encourage new growth.,Business
gradually (adv.),ค่อยๆ,Women have gradually become more involved in the decision-making process.,Business
GUIDE (v.),แนะนำ,He guided me in my research.,Business
guideline (n.),แนวทาง,The guidelines require this information to be made available to the public.,Business
gather (v.),"ชุมนุม, รวมตัว, รวบรวม",he whole family gathered together at Ray’s home.,Business
global (adj.),"ระดับโลก, ทั่วทั้งโลก",This year the global economy will grow by about 4 per cent.,Business
handle (v.),"จัดการ, รับมือ",He decided to handle things himself.,Business
haphazard (adj.),"ซึ่งไม่เป็นระบบ, ซึ่งไม่มีการวางแผน",In the early years training was haphazard.,Business
hardware (n.),"เครื่องมือ, อุปกรณ์คอมพิวเตอร์",The laptop drawing tablet is a very useful piece of hardware.,Business
harmonious (adj.),"ซึ่งเข้ากันได้ดี, สามัคคี",A harmonious alliance between management and workers,Business
hasten (v.),"รีบ, เร่ง",I hasten to add that I knew nothing of the fraud at the time.,Business
haste (n.),ความเร่งรีบ,"In her haste to complete the work on time, she made a number of mistakes.",Business
haggle (v.),ต่อรอง,You can sometimes haggle a good discount.,Business
hesitate (v.),ลังเล,I didn’t hesitate about working with Mali.,Business
head office (n.),สำนักงานใหญ่,Their head office is in New York.,Business
headquarters (n.),สำนักงานใหญ่,I’m now based at headquarters.,Business
hire (v.),จ้าง,We only want to hire permanent staff.,Business
host (n.),เจ้าภาพ,The college is playing host to a group of visiting Russian scientists.,Business
hybrid (n.),สิ่งที่เกิดจากการผสมขึ้นมา,The music was a hybrid of Western pop and traditional folk song.,Business
insure (v.),ประกัน,The company can refuse to insure a property that does not have window locks.,Business
institute (n.),"สถาบัน, องค์กร",He is a member of the Institute of Chartered Accountants.,Business
include (v.),"รวม, มี",The festival is expanding to include more fringe events.,Business
incompetent (adj.),ซึ่งไร้ความสามารถ,She worked for years under an incompetent manager.,Business
itemize (v.),ลงรายละเอียด,We had to provide an itemized list of what had been stolen.,Business
ideal (adj.),ซึ่งอยู่ในอุดมคติ,She’s the ideal candidate for the job.,Business
identification (n.),"การแสดงตัว, การระบุ",Biometric identification methods include fingerprints and facial recognition scanners.,Business
identify (v.),"ระบุชื่อ, ระบุตัว",She was able to identify her attacker.,Business
indicate (v.),"บ่องบอก, แสดง",A yellowing of the skin indicates jaundice.,Business
ignore (v.),"ละเลย, ไม่ใส่ใจ, เพิกเฉย",I made a suggestion but they chose to ignore it.,Business
illogical (adj.),"ซึ่งไม่มีเหตุผล, ซึ่งไร้เหตุผล",She has an illogical fear of insects.,Business
illustrious (adj.),"โดดเด่น, มีชื่อเสียง",The composer was one of many illustrious visitors to the town.,Business
individual (adj.),"รายบุคคล, แต่ละบุคคล",We interviewed each individual member of the community.,Business
individually (adv.),เป็นรายบุคคล,The hotel has 100 individually designed bedrooms.,Business
incentive (n.),แรงจูงใจ,There is little incentive for firms to increase the skills of their workers.,Business
inconvenience (n.),ความไม่สะดวก,We apologize for the delay and regret any inconvenience it may have caused.,Business
intend (v.),ตั้งใจ,We intend that production will start next month.,Business
imitate (v.),"เลียนแบบ, ทำตามอย่าง",No computer can imitate the complex functions of the human brain.,Business
impression (n.),ความประทับใจ,My first impression of him was favourable.,Business
immediate (adj.),ทันทีทันใด,The company announced the immediate availabilty of an updated version of the software.,Business
impel (v.),"ผลักดัน, บังคับ",There are various reasons that impel me to that conclusion.,Business
imply (v.),"บ่งบอกถึง, บอกเป็นนัย",I never meant to imply any criticism.,Business
impact (n.),ผลกระทบ,The project’s impact on the environment should be minimal.,Business
impediment (n.),"การขัดขวาง, สิ่งกีดขวาง, อุปสรรค",The level of inflation is a serious impediment to economic recovery.,Business
improve (v.),"ปรับปรุง, พัฒนา, ดีขึ้น",Engineers are working to improve this technology.,Business
improvement (n.),การปรับปรุง,The economy has shown significant improvement over the past 6 months.,Business
invite (v.),เชิญ,Let’s invite them all for dinner.,Business
inexperienced (adj.),ซึ่งไร้ประสบการณ์,She was inexperienced in teaching art.,Business
information (n.),ข้อมูล,More detailed information is not yet available.,Business
install (v.),ติดตั้ง,They’re planning to install a new drainage system.,Business
installation (n.),การติดตั้ง,Installation of the new system will take several days.,Business
inventory (n.),สินค้าคงคลัง,The inventory lists many rare items.,Business
invoice (n.),ใบแจ้งหนี้,Please pay the final invoice within two weeks.,Business
issue (n.),ปัญหา,This is a big issue; we need more time to think about it.,Business
journal (n.),วารสาร,The journal comes out five times a year.,Business
joint (adj.),ร่วมกัน,The two sides agreed to establish a joint working group.,Business
jobless (adj.),ไม่มีงานทำ,The company has plans to make more people jobless.,Business
judgment (n.),"การพิจารณา, การตัดสิน,","I don’t think he’s dishonest, but I question his judgement.",Business
justification (n.),การให้เหตุผล,I can see some justification for her remarks.,Business
knowledge (n.),ความรู้,He has a wide knowledge of painting and music.,Business
knowledgeable (adj.),มีความรู้,She is very knowledgeable about plants.,Business
lease (n.),สัญญาเช่า,The company holds the building on a long lease.,Business
labor (n.),แรงงาน,The workers voted to withdraw their labor.,Business
landlord / landlady (n.),"เจ้าของที่ดิน, เจ้าของบ้านเช่า, เจ้าของอพาร์ตเมนต์",The newspaper is negotiating with its landlord to reduce its rent.,Business
license (n.),ใบอนุญาต,The vaccine has been licensed by the US Food and Drug Administration.,Business
label (n.),ฉลาก,The washing instructions are on the label.,Business
lay off (phrv.),ปลด,Lay off bullying Jack.,Business
liability (n.),ความรับผิดชอบ,The company cannot accept liability for any damage caused by natural disasters.,Business
local (adj.),ในประเทศ,It was difficult to understand the local dialect.,Business
manufacture (n.),การผลิตด้วยเครื่องจักร,The date of manufacture of the jewellery has not been authenticated.,Business
manufacture (v.),ผลิต,This company manufactures the equipment used to make contact lenses.,Business
maintain (v.),รักษาไว้,He emphasized the need to maintain the status quo.,Business
maintenance (n.),"การซ่อมบำรุง, การรักษาสภาพ",The building has received no regular maintenance since it was vacated in 1998.,Business
marketing (n.),การตลาด,She works in sales and marketing.,Business
mention (v.),กล่าวถึง,She didn’t mention the economy in her speech.,Business
meeting (n.),การประชุม,A public meeting about the proposal takes place on Monday.,Business
memorandum (n.),บันทึกข้อความ,"The memorandum was dated 23 August, 2001.",Business
merge (v.),ผสาน,The company announced plans to merge with its biggest rival.,Business
merger (n.),การควบรวมกิจการ,There are local companies ripe for merger or acquisition.,Business
merchandise (n.),สินค้า,These tokens can be exchanged for merchandise in any of our stores.,Business
motivation (n.),แรงจูงใจ,Most people said that pay was their main motivation for working.,Business
nominate (v.),เสนอชื่อ,She has been nominated for the presidency.,Business
numeral (n.),ตัวเลข,You could present inputs of numeral images with the expected outputs.,Business
numerical (adj.),"เป็นตัวเลข, เกี่ยวกับตัวเลข",The drive towards numerical and managerial performance indicators has already been mentioned.,Business
objective (n.),วัตถุประสงค์,We succeeded in our prime objective of cutting costs.,Business
objection (n.),การคัดค้าน,My one objection is that I don’t think such an amendment is necessary.,Business
occupant (n.),"ผู้เช่าอาศัย, ผู้ครอบครอง, ผู้อยู่อาศัย",There are many empty offices seeking new occupants.,Business
official (adj.),อย่างเป็นทางการ,You have to get official permission to build a new office.,Business
offer (n.),ข้อเสนอ,I refer to your recent application and interview and am pleased to offer you the post of editor.,Business
officer (n.),เจ้าหน้าที่,He’s a retired army intelligence officer.,Business
operate (v.),ปฏิบัติ,Solar panels can only operate in sunlight.,Business
opinion (n.),ความคิดเห็น,"In my personal opinion, it’s a very sound investment.",Business
opportunity (n.),โอกาส,There’ll be plenty of opportunity for relaxing once the work is done.,Business
opponent (n.),"คู่แข่ง, ฝ่ายตรงข้าม, คู่ต่อสู้",She proved a formidable opponent in the debating chamber.,Business
occur (v.),"เกิดขึ้น, มีอยู่",These symptoms occur in some patients but not in others.,Business
overview (n.),ภาพรวม,The second chapter will provide an overview of the issues involved.,Business
overdue (adj.),เกินกำหนด,The rent is now overdue.,Business
outline (n.),เค้าโครง,You should draw up a plan or outline for the essay.,Business
oversee (v.),"ควบคุม, ตรวจสอบ",He personally oversaw the design of all the rooms.,Business
overtime (n.),เวลาพิเศษที่นอกเหนือจากเวลาทำงานปกติ,The overtime costs alone have used up the public safety budget.,Business
own (v.),"เป็นเจ้าของ, ครอบครอง",He owns and operates an eco-tourism company.,Business
oblige (v.),บังคับ,Circumstances had obliged him to sell the business.,Business
package (n.),บรรจุภัณฑ์,I sent the books in one big package.,Business
pact (n.),"สัญญา, ข้อตกลง",They have made a pact with each other not to speak about their differences in public.,Business
parcel (n.),พัสดุ,She went to collect her parcel from the depot.,Business
participant (n.),ผู้เข้าร่วม,Participants were asked to choose one of four topics for the lunch sessions.,Business
partner (n.),"หุ้นส่วน, ผู้ร่วมมือ",He has recently been made a junior partner in the family business.,Business
parking lot (n.),ที่จอดรถ,Found him in a parking lot in Brentwood.,Business
personnel (n.),"พนักงาน, บุคลากร",There is a severe shortage of skilled personnel.,Business
personal (adj.),ส่วนบุคคล,I need my own personal space.,Business
permanent (adj.),ถาวร,We decided to make the arrangement permanent.,Business
proposal (n.),ข้อเสนอ,The proposal for a new high-speed railway met with strong opposition.,Business
productive (adj.),"มีประสิทธิภาพ, ที่เกิดผล",The aim was to maximize the machine’s productive capacity.,Business
prohibit (v.),ห้าม,Smoking is strictly prohibited inside the factory.,Business
prohibition (n.),"ข้อห้าม, การห้าม","Prohibition of drugs, they say, works no better than prohibition of alcohol did in the United States.",Business
priority (n.),การจัดลำดับความสำคัญ,The department must start setting priorities.,Business
price (n.),ราคา,The price of crude oil has risen over the last few months.,Business
principle (n.),"ทฤษฎี, กฎ",There are three fundamental principles of teamwork.,Business
private (adj.),ที่เป็นส่วนตัว,"The hotel has 110 bedrooms, all with private bathrooms.",Business
predict (v.),ทำนาย,We can predict with absolute confidence how the newspapers will react.,Business
permit (v.),อนุญาต,The owners have been unwilling to permit the use of their land.,Business
permit (n.),ใบอนุญาต,My parking permit was due to be renewed.,Business
